2026-01-08 21:02:59.222652 | Samples: 40 | Loss: 0.4603 | LR: 5.00e-05
2026-01-08 21:03:48.148513 | Samples: 40 | Loss: 0.4803 | LR: 5.00e-05
2026-01-08 21:04:32.772041 | Samples: 40 | Loss: 0.5180 | LR: 5.00e-05
2026-01-08 21:05:25.374854 | Samples: 40 | Loss: 0.4445 | LR: 5.00e-05
2026-01-08 21:06:21.334912 | Samples: 40 | Loss: 0.4835 | LR: 5.00e-05
2026-01-08 21:07:11.532515 | Samples: 40 | Loss: 0.3757 | LR: 5.00e-05
2026-01-08 21:08:02.584185 | Samples: 40 | Loss: 0.3363 | LR: 5.00e-05
2026-01-08 21:08:47.948998 | Samples: 40 | Loss: 0.3006 | LR: 5.00e-05
2026-01-08 21:09:38.339628 | Samples: 40 | Loss: 0.2689 | LR: 5.00e-05
2026-01-08 21:10:26.464678 | Samples: 40 | Loss: 0.2587 | LR: 5.00e-05
2026-01-08 21:11:12.168847 | Samples: 40 | Loss: 0.2430 | LR: 5.00e-05
2026-01-08 21:12:01.026587 | Samples: 40 | Loss: 0.2268 | LR: 5.00e-05
2026-01-08 21:12:53.125487 | Samples: 40 | Loss: 0.1400 | LR: 5.00e-05
2026-01-08 21:13:38.246085 | Samples: 40 | Loss: 0.2014 | LR: 5.00e-05
2026-01-08 21:14:29.836313 | Samples: 40 | Loss: 0.1935 | LR: 5.00e-05
2026-01-08 21:15:21.440129 | Samples: 40 | Loss: 0.1637 | LR: 5.00e-05
2026-01-08 21:16:15.724514 | Samples: 40 | Loss: 0.2326 | LR: 5.00e-05
2026-01-08 21:17:05.244411 | Samples: 40 | Loss: 0.2059 | LR: 5.00e-05
2026-01-08 21:18:01.402060 | Samples: 40 | Loss: 0.1688 | LR: 5.00e-05
2026-01-08 21:19:01.076144 | Samples: 40 | Loss: 0.1775 | LR: 5.00e-05
2026-01-08 21:19:52.433219 | Samples: 40 | Loss: 0.1676 | LR: 5.00e-05
2026-01-08 21:20:42.492016 | Samples: 40 | Loss: 0.1749 | LR: 4.99e-05
2026-01-08 21:21:33.083341 | Samples: 40 | Loss: 0.1906 | LR: 4.99e-05
2026-01-08 21:22:27.652875 | Samples: 40 | Loss: 0.1650 | LR: 4.99e-05
2026-01-08 21:23:14.320934 | Samples: 40 | Loss: 0.1984 | LR: 4.99e-05
2026-01-08 21:24:03.514129 | Samples: 40 | Loss: 0.1435 | LR: 4.99e-05
2026-01-08 21:24:54.785338 | Samples: 40 | Loss: 0.2022 | LR: 4.99e-05
2026-01-08 21:25:46.721997 | Samples: 40 | Loss: 0.1707 | LR: 4.99e-05
2026-01-08 21:26:42.670563 | Samples: 40 | Loss: 0.1691 | LR: 4.99e-05
2026-01-08 21:27:32.766517 | Samples: 40 | Loss: 0.1532 | LR: 4.99e-05
2026-01-08 21:28:22.153559 | Samples: 40 | Loss: 0.2098 | LR: 4.99e-05
2026-01-08 21:29:12.850925 | Samples: 40 | Loss: 0.1901 | LR: 4.99e-05
2026-01-08 21:30:04.669017 | Samples: 40 | Loss: 0.2266 | LR: 4.99e-05
2026-01-08 21:30:52.327037 | Samples: 40 | Loss: 0.1842 | LR: 4.99e-05
2026-01-08 21:31:48.657014 | Samples: 40 | Loss: 0.2091 | LR: 4.99e-05
2026-01-08 21:32:54.603070 | Samples: 40 | Loss: 0.2248 | LR: 4.99e-05
2026-01-08 21:33:50.955484 | Samples: 40 | Loss: 0.1554 | LR: 4.98e-05
2026-01-08 21:34:41.298611 | Samples: 40 | Loss: 0.1450 | LR: 4.98e-05
2026-01-08 21:35:34.777603 | Samples: 40 | Loss: 0.1674 | LR: 4.98e-05
2026-01-08 21:36:31.975253 | Samples: 40 | Loss: 0.1940 | LR: 4.98e-05
2026-01-08 21:37:27.488157 | Samples: 40 | Loss: 0.1993 | LR: 4.98e-05
2026-01-08 21:38:16.291690 | Samples: 40 | Loss: 0.1659 | LR: 4.98e-05
2026-01-08 21:39:00.584407 | Samples: 40 | Loss: 0.1441 | LR: 4.98e-05
2026-01-08 21:39:48.396996 | Samples: 40 | Loss: 0.1587 | LR: 4.98e-05
2026-01-08 21:40:39.135563 | Samples: 40 | Loss: 0.1644 | LR: 4.98e-05
2026-01-08 21:41:33.179451 | Samples: 40 | Loss: 0.1814 | LR: 4.98e-05
2026-01-08 21:42:28.457469 | Samples: 40 | Loss: 0.1526 | LR: 4.97e-05
2026-01-08 21:43:17.401044 | Samples: 40 | Loss: 0.1515 | LR: 4.97e-05
2026-01-08 21:44:17.879293 | Samples: 40 | Loss: 0.1549 | LR: 4.97e-05
2026-01-08 21:45:10.545740 | Samples: 40 | Loss: 0.1761 | LR: 4.97e-05
2026-01-08 21:46:05.452091 | Samples: 40 | Loss: 0.1470 | LR: 4.97e-05
2026-01-08 21:46:54.680429 | Samples: 40 | Loss: 0.1549 | LR: 4.97e-05
2026-01-08 21:47:51.151559 | Samples: 40 | Loss: 0.1760 | LR: 4.97e-05
2026-01-08 21:48:44.483815 | Samples: 40 | Loss: 0.1867 | LR: 4.97e-05
2026-01-08 21:49:37.793269 | Samples: 40 | Loss: 0.1613 | LR: 4.96e-05
2026-01-08 21:50:33.899017 | Samples: 40 | Loss: 0.1832 | LR: 4.96e-05
2026-01-08 21:51:27.938642 | Samples: 40 | Loss: 0.1411 | LR: 4.96e-05
